espnGameLink,espnGameId,team1,team1Score,team2,team2Score,team1Fouls,team1Yellows,team1Reds,team1Offsides,team1Corners,team1Saves,team1Possession,team1Shots,team1OnGoal,team2Fouls,team2Yellows,team2Reds,team2Offsides,team2Corners,team2Saves,team2Possession,team2Shots,team2OnGoal
"http://www.espn.com/soccer/matchstats?gameId=436470","436470","Malawi","1","Tanzania","0","",0,0,"","","","","","","",0,0,"","","","","",""
"http://www.espn.com/soccer/matchstats?gameId=436340","436340","Niger","4","Somalia","0","",0,0,"","","","","","","",0,0,"","","","","",""
"http://www.espn.com/soccer/matchstats?gameId=436241","436241","Kenya","0","Mauritius","0","",0,0,"","","","","","","",0,0,"","","","","",""
"http://www.espn.com/soccer/matchstats?gameId=437701","437701","Cameroon","0","Niger","0","",0,0,"","","","","","","",1,0,"","","","","",""
"http://www.espn.com/soccer/matchstats?gameId=437696","437696","Uganda","3","Togo","0","",0,0,"","","","","","","",2,0,"","","","","",""
"http://www.espn.com/soccer/matchstats?gameId=437676","437676","Burundi","2","Congo DR","3","",0,0,"","","","","","","",3,0,"","","","","",""
"http://www.espn.com/soccer/matchstats?gameId=437685","437685","Angola","1","South Africa","3","",2,0,"","","","","","","",2,1,"","","","","",""
"http://www.espn.com/soccer/matchstats?gameId=436233","436233","Liberia","1","Guinea Bissau","1","",0,0,"","","","","","","",0,0,"","","","","",""
"http://www.espn.com/soccer/matchstats?gameId=436345","436345","Botswana","3","Eritrea","1","",0,0,"","","","","","","",0,0,"","","","","",""
"http://www.espn.com/soccer/matchstats?gameId=437679","437679","Togo","0","Uganda","1","",1,0,"","","","","","","",1,0,"","","","","",""
"http://www.espn.com/soccer/matchstats?gameId=437690","437690","Ethiopia","3","Congo","4","",2,0,"","","","","","","",1,0,"","","","","",""
"http://www.espn.com/soccer/matchstats?gameId=437682","437682","Comoros Islands","0","Ghana","0","",0,0,"","","","","","","",1,0,"","","","","",""
"http://www.espn.com/soccer/matchstats?gameId=437683","437683","Kenya","1","Cape Verde Islands","0","",2,0,"","","","","","","",2,0,"","","","","",""
"http://www.espn.com/soccer/matchstats?gameId=436240","436240","Ethiopia","3","Sao Tome e Principe","0","",0,0,"","","","","","","",0,0,"","","","","",""
"http://www.espn.com/soccer/matchstats?gameId=437692","437692","Botswana","2","Mali","1","",3,0,"","","","","","","",3,0,"","","","","",""
"http://www.espn.com/soccer/matchstats?gameId=436230","436230","South Sudan","1","Mauritania","1","",0,0,"","","","","","","",0,0,"","","","","",""
"http://www.espn.com/soccer/matchstats?gameId=436231","436231","Sao Tome e Principe","1","Ethiopia","0","",0,0,"","","","","","","",0,0,"","","","","",""
