espnGameLink,espnGameId,team1,team1Score,team2,team2Score,team1Fouls,team1Yellows,team1Reds,team1Offsides,team1Corners,team1Saves,team1Possession,team1Shots,team1OnGoal,team2Fouls,team2Yellows,team2Reds,team2Offsides,team2Corners,team2Saves,team2Possession,team2Shots,team2OnGoal
"http://www.espn.com/soccer/matchstats?gameId=435529","435529","United States","4","Guatemala","0","17","1","0","4","5","1","52%","9 ","5","18","1","0","0","1","2","48%","5 ","2"
"http://www.espn.com/soccer/matchstats?gameId=417169","417169","Belize","0","Cayman Islands","0","",0,0,"","","","","","","",3,0,"","","","","",""
"http://www.espn.com/soccer/matchstats?gameId=417170","417170","Bahamas","0","Bermuda","5","",4,1,"","","","","","","",0,0,"","","","","",""
"http://www.espn.com/soccer/matchstats?gameId=433501","433501","Curacao","0","El Salvador","1","",2,0,"","","","","","","",5,0,"","","","","",""
"http://www.espn.com/soccer/matchstats?gameId=417167","417167","Turks and Caicos Islands","2","St. Kitts and Nevis","6","",1,0,"","","","","","","",1,0,"","","","","",""
"http://www.espn.com/soccer/matchstats?gameId=418782","418782","El Salvador","4","St. Kitts and Nevis","1","",1,0,"","","","","","","",1,0,"","","","","",""
"http://www.espn.com/soccer/matchstats?gameId=417159","417159","Antigua and Barbuda","1","St. Lucia","3","",1,0,"","","","","","","",1,0,"","","","","",""
"http://www.espn.com/soccer/matchstats?gameId=417162","417162","Dominica","0","British Virgin Islands","0","",0,0,"","","","","","","",0,0,"","","","","",""
"http://www.espn.com/soccer/matchstats?gameId=433495","433495","El Salvador","1","Curacao","0","",2,0,"","","","","","","",2,0,"","","","","",""
"http://www.espn.com/soccer/matchstats?gameId=417163","417163","Anguilla","0","Nicaragua","3","",1,0,"","","","","","","",1,0,"","","","","",""
"http://www.espn.com/soccer/matchstats?gameId=418778","418778","Canada","4","Dominica","0","9","0","0","3","9","11","73%","20 ","15","11","1","0","0","0","2","27%","9 ","2"
"http://www.espn.com/soccer/matchstats?gameId=417155","417155","Grenada","2","Puerto Rico","0","",1,0,"","","","","","","",0,0,"","","","","",""
"http://www.espn.com/soccer/matchstats?gameId=417173","417173","Barbados","0","US Virgin Islands","1","",3,1,"","","","","","","",6,0,"","","","","",""
"http://www.espn.com/soccer/matchstats?gameId=417154","417154","St. Lucia","1","Antigua and Barbuda","4","",2,1,"","","","","","","",1,0,"","","","","",""
"http://www.espn.com/soccer/matchstats?gameId=435527","435527","Mexico","2","Canada","0","12","1","0","2","3","2","67%","13 ","4","10","2","0","1","3","1","33%","6 ","1"
"http://www.espn.com/soccer/matchstats?gameId=435530","435530","Panama","1","Haiti","0","",1,0,"","","","","","","",5,1,"","","","","",""
"http://www.espn.com/soccer/matchstats?gameId=435536","435536","Haiti","0","Panama","0","",3,0,"","","","","","","",1,0,"","","","","",""
"http://www.espn.com/soccer/matchstats?gameId=418783","418783","Dominica","0","Canada","2","",0,0,"","","","","","","",0,1,"","","","","",""
"http://www.espn.com/soccer/matchstats?gameId=433502","433502","Antigua and Barbuda","1","Guatemala","0","",0,0,"","","","","","","",2,0,"","","","","",""
"http://www.espn.com/soccer/matchstats?gameId=433503","433503","Grenada","1","Haiti","3","",2,0,"","","","","","","",0,0,"","","","","",""
"http://www.espn.com/soccer/matchstats?gameId=418776","418776","Barbados","1","Aruba","0","",1,0,"","","","","","","",1,0,"","","","","",""
"http://www.espn.com/soccer/matchstats?gameId=433499","433499","St. Vincent and the Grenadines","2","Aruba","0","",0,0,"","","","","","","",3,0,"","","","","",""
