espnGameLink,espnGameId,team1,team1Score,team2,team2Score,team1Fouls,team1Yellows,team1Reds,team1Offsides,team1Corners,team1Saves,team1Possession,team1Shots,team1OnGoal,team2Fouls,team2Yellows,team2Reds,team2Offsides,team2Corners,team2Saves,team2Possession,team2Shots,team2OnGoal
"http://www.espn.com/soccer/matchstats?gameId=431617","431617","Brazil","2","Uruguay","2","20","3","0","2","7","2","62%","8 ","4","16","1","0","1","5","5","38%","12 ","7"
"http://www.espn.com/soccer/matchstats?gameId=431604","431604","Bolivia","0","Peru","3","21","2","0","1","3","4","55%","12 ","6","13","2","0","5","5","4","45%","10 ","4"
"http://www.espn.com/soccer/matchstats?gameId=431629","431629","Paraguay","0","Argentina","0","18","2","0","3","2","3","39%","11 ","3","15","2","0","0","1","4","61%","10 ","4"
"http://www.espn.com/soccer/matchstats?gameId=431615","431615","Bolivia","2","Colombia","3","26","3","0","2","5","7","66%","22 ","9","16","1","0","2","0","2","34%","7 ","5"
"http://www.espn.com/soccer/matchstats?gameId=431605","431605","Ecuador","0","Brazil","3","18","3","1","3","4","2","39%","7 ","2","11","1","0","5","3","2","61%","16 ","5"
"http://www.espn.com/soccer/matchstats?gameId=431626","431626","Peru","1","Paraguay","0","16","1","0","3","6","2","54%","12 ","3","25","2","0","2","3","2","46%","8 ","3"
"http://www.espn.com/soccer/matchstats?gameId=431599","431599","Venezuela","2","Argentina","2","14","1","0","2","4","1","31%","10 ","3","15","3","0","6","8","4","69%","15 ","6"
"http://www.espn.com/soccer/matchstats?gameId=431609","431609","Uruguay","1","Peru","0","7","0","0","2","7","4","55%","15 ","6","11","2","0","2","3","2","45%","8 ","2"
"http://www.espn.com/soccer/matchstats?gameId=431603","431603","Uruguay","4","Paraguay","0","17","2","0","2","6","2","54%","13 ","6","20","1","0","0","1","2","46%","9 ","2"
"http://www.espn.com/soccer/matchstats?gameId=431602","431602","Peru","2","Ecuador","1","16","3","0","2","4","5","44%","12 ","7","23","3","1","3","6","2","56%","9 ","3"
"http://www.espn.com/soccer/matchstats?gameId=431631","431631","Peru","3","Chile","4","10","1","1","1","6","2","33%","15 ","5","17","2","0","7","5","4","67%","11 ","8"
"http://www.espn.com/soccer/matchstats?gameId=431614","431614","Chile","1","Argentina","2","10","2","0","3","6","1","55%","12 ","2","17","4","0","1","4","0","45%","8 ","2"
"http://www.espn.com/soccer/matchstats?gameId=431601","431601","Brazil","2","Colombia","1","13","4","0","3","7","3","63%","15 ","5","16","1","0","0","4","0","37%","5 ","0"
"http://www.espn.com/soccer/matchstats?gameId=431627","431627","Ecuador","2","Uruguay","1","14","4","0","1","8","4","61%","20 ","6","11","2","0","4","4","2","39%","9 ","3"
"http://www.espn.com/soccer/matchstats?gameId=431624","431624","Argentina","1","Brazil","1","12","3","0","2","11","1","48%","13 ","2","20","3","1","2","7","3","52%","10 ","4"
"http://www.espn.com/soccer/matchstats?gameId=431600","431600","Chile","3","Bolivia","0","13","2","0","3","9","4","75%","12 ","4","21","2","0","0","3","3","25%","8 ","3"
"http://www.espn.com/soccer/matchstats?gameId=431630","431630","Ecuador","2","Bolivia","0","12","2","0","4","15","7","69%","19 ","9","17","5","0","0","0","2","31%","6 ","2"
"http://www.espn.com/soccer/matchstats?gameId=431635","431635","Argentina","0","Ecuador","2","14","3","0","2","7","5","67%","12 ","5","24","1","0","4","6","1","33%","8 ","3"
"http://www.espn.com/soccer/matchstats?gameId=431633","431633","Brazil","3","Venezuela","1","10","1","0","3","14","2","67%","15 ","5","16","3","0","2","8","2","33%","7 ","3"
"http://www.espn.com/soccer/matchstats?gameId=431610","431610","Argentina","2","Bolivia","0","7","0","0","1","4","5","80%","23 ","8","21","2","0","0","4","2","20%","3 ","2"
"http://www.espn.com/soccer/matchstats?gameId=431620","431620","Paraguay","2","Bolivia","1","13","1","1","1","10","3","66%","20 ","6","13","2","0","0","1","2","34%","4 ","3"
"http://www.espn.com/soccer/matchstats?gameId=431591","431591","Argentina","0","Paraguay","1","16","2","0","3","7","5","70%","18 ","5","16","1","0","2","2","2","30%","9 ","3"
"http://www.espn.com/soccer/matchstats?gameId=431611","431611","Paraguay","2","Brazil","2","18","3","0","2","6","3","35%","13 ","5","12","1","0","0","5","7","65%","19 ","9"
"http://www.espn.com/soccer/matchstats?gameId=431606","431606","Paraguay","2","Chile","1","17","3","0","0","8","3","30%","13 ","5","13","4","1","2","2","1","70%","9 ","2"
"http://www.espn.com/soccer/matchstats?gameId=431618","431618","Peru","2","Venezuela","2","15","3","0","3","10","4","67%","17 ","6","18","3","0","0","5","5","33%","15 ","7"
"http://www.espn.com/soccer/matchstats?gameId=431619","431619","Colombia","0","Argentina","1","15","4","0","5","5","1","54%","12 ","2","19","3","0","3","1","2","46%","10 ","3"
"http://www.espn.com/soccer/matchstats?gameId=431593","431593","Colombia","2","Uruguay","2","14","2","0","2","4","2","61%","11 ","5","16","4","0","1","4","2","39%","10 ","4"
"http://www.espn.com/soccer/matchstats?gameId=431623","431623","Brazil","3","Peru","0","21","1","0","8","2","2","60%","14 ","5","18","3","0","1","3","2","40%","9 ","3"
"http://www.espn.com/soccer/matchstats?gameId=431622","431622","Venezuela","1","Ecuador","3","15","3","0","0","5","4","57%","24 ","6","16","1","0","4","3","3","43%","11 ","6"
"http://www.espn.com/soccer/matchstats?gameId=431608","431608","Colombia","2","Venezuela","0","12","2","0","2","5","8","57%","24 ","11","26","1","2","1","4","4","43%","8 ","4"
"http://www.espn.com/soccer/matchstats?gameId=431632","431632","Uruguay","3","Colombia","0","20","1","0","1","3","1","34%","12 ","4","23","3","1","3","2","4","66%","12 ","4"
"http://www.espn.com/soccer/matchstats?gameId=431616","431616","Ecuador","2","Paraguay","2","12","2","0","0","15","3","71%","31 ","5","10","1","0","2","0","1","29%","9 ","3"
"http://www.espn.com/soccer/matchstats?gameId=431634","431634","Chile","2","Brazil","0","18","1","0","2","3","3","50%","13 ","6","12","1","0","1","6","1","50%","13 ","1"
"http://www.espn.com/soccer/matchstats?gameId=431607","431607","Argentina","1","Uruguay","0","21","1","1","0","7","0","56%","6 ","1","19","5","0","5","2","2","44%","9 ","2"
"http://www.espn.com/soccer/matchstats?gameId=431637","431637","Colombia","2","Peru","0","21","2","0","3","4","2","52%","10 ","4","12","1","0","4","5","1","48%","10 ","2"
"http://www.espn.com/soccer/matchstats?gameId=431589","431589","Venezuela","0","Brazil","2","14","3","0","5","4","2","34%","13 ","2","16","1","0","2","5","3","66%","14 ","5"
"http://www.espn.com/soccer/matchstats?gameId=431590","431590","Bolivia","2","Ecuador","2","19","5","0","2","6","5","49%","12 ","7","13","3","1","2","3","2","51%","14 ","5"
"http://www.espn.com/soccer/matchstats?gameId=431621","431621","Uruguay","3","Chile","0","16","4","0","0","5","4","27%","10 ","7","16","4","1","3","3","6","73%","14 ","6"
"http://www.espn.com/soccer/matchstats?gameId=431628","431628","Bolivia","4","Venezuela","2","24","3","0","2","6","5","72%","23 ","9","17","5","1","3","2","3","28%","8 ","5"
"http://www.espn.com/soccer/matchstats?gameId=431592","431592","Chile","2","Peru","1","16","1","0","2","6","5","69%","17 ","7","12","1","0","2","1","1","31%","10 ","2"
"http://www.espn.com/soccer/matchstats?gameId=431625","431625","Chile","1","Colombia","1","13","2","0","5","5","3","67%","12 ","4","21","3","0","0","7","3","33%","14 ","4"
"http://www.espn.com/soccer/matchstats?gameId=431636","431636","Venezuela","0","Paraguay","1","19","2","0","0","5","1","56%","13 ","1","18","1","0","1","1","0","44%","7 ","1"
"http://www.espn.com/soccer/matchstats?gameId=431638","431638","Bolivia","0","Uruguay","2","16","4","1","5","7","6","68%","21 ","6","17","2","0","1","4","4","32%","12 ","6"
"http://www.espn.com/soccer/matchstats?gameId=431613","431613","Colombia","3","Ecuador","1","15","2","0","1","5","5","40%","17 ","8","22","4","0","0","3","1","60%","6 ","2"
"http://www.espn.com/soccer/matchstats?gameId=431612","431612","Venezuela","1","Chile","4","17","2","0","1","2","1","36%","13 ","2","15","2","0","3","3","0","64%","13 ","4"
