espnGameLink,espnGameId,team1,team1Score,team2,team2Score,team1Fouls,team1Yellows,team1Reds,team1Offsides,team1Corners,team1Saves,team1Possession,team1Shots,team1OnGoal,team2Fouls,team2Yellows,team2Reds,team2Offsides,team2Corners,team2Saves,team2Possession,team2Shots,team2OnGoal
"http://www.espn.com/soccer/matchstats?gameId=509952","509952","Trinidad and Tobago","0","Panama","1","0","2","0","0","0","0","0%","0 ","0","0","0","0","0","0","0","0%","1 ","1"
"http://www.espn.com/soccer/matchstats?gameId=467436","467436","Congo DR","0","Kenya","1","0","0","0","0","0","0","0%","0 ","0","0","0","0","0","0","0","0%","0 ","0"
"http://www.espn.com/soccer/matchstats?gameId=467419","467419","Togo","1","Uganda","0","0","1","0","0","0","0","0%","0 ","0","0","0","0","0","0","0","0%","0 ","0"
"http://www.espn.com/soccer/matchstats?gameId=467418","467418","Tajikistan","3","Palestine","3","0","4","0","0","0","0","0%","0 ","0","0","4","0","0","0","0","0%","0 ","0"
"http://www.espn.com/soccer/matchstats?gameId=467508","467508","Solomon Islands","0","New Caledonia","3","0","0","0","0","0","0","0%","0 ","0","0","1","0","0","0","0","0%","0 ","0"
"http://www.espn.com/soccer/matchstats?gameId=467106","467106","Canada","4","Mauritania","0","20","3","0","1","4","1","53%","13 ","5","12","0","0","1","2","1","47%","12 ","1"
"http://www.espn.com/soccer/matchstats?gameId=467416","467416","Kyrgyzstan","0","Lebanon","0","0","2","1","0","0","0","0%","0 ","0","0","1","0","0","0","0","0%","0 ","0"
"http://www.espn.com/soccer/matchstats?gameId=467417","467417","Cambodia","0","Hong Kong","2","0","1","0","0","0","0","0%","0 ","0","0","1","0","0","0","0","0%","0 ","0"
"http://www.espn.com/soccer/matchstats?gameId=467512","467512","Vietnam","5","North Korea","2","0","1","0","0","0","0","0%","0 ","0","0","1","0","0","0","0","0%","0 ","0"
"http://www.espn.com/soccer/matchstats?gameId=460625","460625","Cuba","0","United States","2","7","2","0","8","3","3","40%","12 ","3","18","0","0","0","6","6","60%","18 ","8"
"http://www.espn.com/soccer/matchstats?gameId=467511","467511","Oman","1","Jordan","1","0","2","0","0","0","0","0%","0 ","0","0","1","0","0","0","0","0%","0 ","0"
"http://www.espn.com/soccer/matchstats?gameId=467414","467414","Singapore","0","Malaysia","0","0","2","0","0","0","0","0%","0 ","0","0","3","0","0","0","0","0%","0 ","0"
"http://www.espn.com/soccer/matchstats?gameId=467415","467415","Philippines","1","Bahrain","3","0","2","0","0","0","0","0%","0 ","0","0","2","0","0","0","0","0%","0 ","0"
"http://www.espn.com/soccer/matchstats?gameId=464418","464418","New Zealand","1","Mexico","2","11","0","0","3","7","1","35%","10 ","3","8","0","0","1","6","1","65%","13 ","3"
"http://www.espn.com/soccer/matchstats?gameId=467548","467548","Belize","1","Honduras","2","0","5","0","0","0","0","0%","0 ","0","0","0","0","0","0","0","0%","0 ","0"
"http://www.espn.com/soccer/matchstats?gameId=467546","467546","Solomon Islands","0","New Caledonia","1","0","3","0","0","0","0","0%","0 ","0","0","3","0","0","0","0","0%","0 ","0"
"http://www.espn.com/soccer/matchstats?gameId=467510","467510","Togo","2","Mozambique","0","0","0","0","0","0","0","0%","0 ","0","0","0","0","0","0","0","0%","0 ","0"
"http://www.espn.com/soccer/matchstats?gameId=448828","448828","Russia","3","Costa Rica","4","12","1","0","0","7","5","55%","10 ","8","17","2","0","0","4","3","45%","9 ","6"
"http://www.espn.com/soccer/matchstats?gameId=467544","467544","Cambodia","4","Sri Lanka","0","0","0","0","0","0","0","0%","0 ","0","0","4","0","0","0","0","0%","0 ","0"
"http://www.espn.com/soccer/matchstats?gameId=467545","467545","Indonesia","2","Vietnam","2","0","2","0","0","0","0","0%","0 ","0","0","3","0","0","0","0","0%","0 ","0"
"http://www.espn.com/soccer/matchstats?gameId=467413","467413","Philippines","1","North Korea","3","0","4","0","0","0","0","0%","0 ","0","0","3","0","0","0","0","0%","0 ","0"
"http://www.espn.com/soccer/matchstats?gameId=467292","467292","Panama","0","Mexico","1","21","4","0","2","0","2","42%","5 ","2","18","3","0","3","1","1","58%","5 ","2"
"http://www.espn.com/soccer/matchstats?gameId=464367","464367","United States","1","New Zealand","1","19","1","0","3","5","5","58%","13 ","6","19","1","0","2","5","1","42%","12 ","5"
"http://www.espn.com/soccer/matchstats?gameId=467105","467105","Morocco","4","Canada","0","15","0","0","1","0","4","61%","18 ","9","10","4","0","0","2","3","39%","10 ","3"
"http://www.espn.com/soccer/matchstats?gameId=467408","467408","South Africa","1","Ghana","1","0","0","0","0","0","0","0%","0 ","0","0","1","0","0","0","0","0%","0 ","0"
"http://www.espn.com/soccer/matchstats?gameId=467409","467409","Oman","2","Bahrain","2","0","0","0","0","0","0","0%","0 ","0","0","1","0","0","0","0","0%","0 ","0"
"http://www.espn.com/soccer/matchstats?gameId=467411","467411","Kyrgyzstan","1","Turkmenistan","0","0","0","0","0","0","0","0%","0 ","0","0","3","0","0","0","0","0%","0 ","0"
"http://www.espn.com/soccer/matchstats?gameId=467410","467410","Lebanon","1","Equatorial Guinea","1","0","2","1","0","0","0","0%","0 ","0","0","3","0","0","0","0","0%","0 ","0"
"http://www.espn.com/soccer/matchstats?gameId=467509","467509","Malaysia","1","Afghanistan","1","0","3","0","0","0","0","0%","0 ","0","0","1","0","0","0","0","0%","0 ","0"
"http://www.espn.com/soccer/matchstats?gameId=467412","467412","Hong Kong","2","Singapore","0","0","1","0","0","0","0","0%","0 ","0","0","1","0","0","0","0","0%","0 ","0"
"http://www.espn.com/soccer/matchstats?gameId=468164","468164","Honduras","5","Belize","0","0","0","0","0","0","0","0%","0 ","0","0","0","0","0","0","0","0%","0 ","0"
"http://www.espn.com/soccer/matchstats?gameId=468165","468165","Brunei Darussalam","4","Timor-Leste","0","0","1","0","0","0","0","0%","0 ","0","0","3","1","0","0","0","0%","0 ","0"
"http://www.espn.com/soccer/matchstats?gameId=468162","468162","Macau","2","Mongolia","1","0","1","0","0","0","0","0%","0 ","0","0","1","0","0","0","0","0%","0 ","0"
"http://www.espn.com/soccer/matchstats?gameId=468163","468163","Sri Lanka","1","Laos","2","0","0","0","0","0","0","0%","0 ","0","0","0","0","0","0","0","0%","0 ","0"
