espnGameLink,espnGameId,team1,team1Score,team2,team2Score,team1Fouls,team1Yellows,team1Reds,team1Offsides,team1Corners,team1Saves,team1Possession,team1Shots,team1OnGoal,team2Fouls,team2Yellows,team2Reds,team2Offsides,team2Corners,team2Saves,team2Possession,team2Shots,team2OnGoal
"http://www.espn.com/soccer/matchstats?gameId=431712","431712","Estonia","1","Cyprus","0","21","1","0","3","4","1","57%","8 ","2","9","1","0","8","2","1","43%","4 ","1"
"http://www.espn.com/soccer/matchstats?gameId=457271","457271","Kosovo","0","Finland","1","11","3","0","7","5","2","49%","12 ","2","14","3","0","5","4","1","51%","10 ","2"
"http://www.espn.com/soccer/matchstats?gameId=431668","431668","Andorra","0","Portugal","2","23","4","0","0","1","0","20%","1 ","0","9","0","0","1","5","4","80%","20 ","6"
"http://www.espn.com/soccer/matchstats?gameId=431684","431684","San Marino","0","Norway","8","13","4","0","0","0","0","24%","1 ","0","11","0","0","3","10","10","76%","26 ","18"
"http://www.espn.com/soccer/matchstats?gameId=431717","431717","Ukraine","2","Turkey","0","7","1","0","3","7","4","52%","15 ","6","7","1","0","3","3","1","48%","3 ","1"
"http://www.espn.com/soccer/matchstats?gameId=431738","431738","Bulgaria","3","Sweden","2","13","4","0","1","5","2","41%","8 ","6","12","1","0","1","9","6","59%","12 ","8"
"http://www.espn.com/soccer/matchstats?gameId=431693","431693","Republic of Ireland","0","Serbia","1","19","2","0","1","5","3","49%","17 ","3","15","2","1","2","4","2","51%","8 ","3"
"http://www.espn.com/soccer/matchstats?gameId=431660","431660","Slovakia","3","Malta","0","15","2","0","4","7","4","72%","16 ","7","16","4","0","0","0","0","28%","2 ","0"
"http://www.espn.com/soccer/matchstats?gameId=431683","431683","Malta","1","Lithuania","1","11","1","0","1","2","2","43%","4 ","3","17","2","0","5","6","3","57%","15 ","4"
"http://www.espn.com/soccer/matchstats?gameId=431722","431722","Romania","1","Armenia","0","11","3","0","3","8","5","62%","27 ","6","16","1","1","4","2","1","38%","8 ","1"
"http://www.espn.com/soccer/matchstats?gameId=431703","431703","England","2","Slovakia","1","15","1","0","1","9","8","46%","23 ","10","9","1","0","1","1","1","54%","5 ","2"
"http://www.espn.com/soccer/matchstats?gameId=431685","431685","Scotland","1","Slovakia","0","12","2","0","0","8","7","50%","20 ","7","13","2","1","1","2","2","50%","10 ","2"
"http://www.espn.com/soccer/matchstats?gameId=431757","431757","Belarus","2","Bulgaria","1","24","3","0","0","5","2","34%","9 ","4","9","2","0","4","7","2","66%","19 ","6"
"http://www.espn.com/soccer/matchstats?gameId=431673","431673","Italy","1","Macedonia","1","12","1","0","2","3","2","57%","9 ","3","12","2","0","4","4","2","43%","7 ","3"
"http://www.espn.com/soccer/matchstats?gameId=431672","431672","Spain","3","Albania","0","16","2","0","2","5","3","64%","28 ","6","15","5","0","1","6","2","36%","14 ","2"
"http://www.espn.com/soccer/matchstats?gameId=431649","431649","Serbia","1","Georgia","0","13","3","0","3","10","3","49%","17 ","5","17","2","0","0","0","3","51%","7 ","3"
"http://www.espn.com/soccer/matchstats?gameId=431645","431645","Netherlands","2","Sweden","0","9","1","0","1","2","6","69%","21 ","8","12","1","0","1","1","2","31%","5 ","2"
"http://www.espn.com/soccer/matchstats?gameId=431671","431671","Sweden","8","Luxembourg","0","12","0","0","2","5","6","59%","22 ","14","9","1","0","2","3","2","41%","5 ","2"
"http://www.espn.com/soccer/matchstats?gameId=431719","431719","Albania","2","Liechtenstein","0","14","0","0","1","12","3","68%","14 ","5","12","4","0","1","0","0","32%","2 ","0"
"http://www.espn.com/soccer/matchstats?gameId=431744","431744","Republic of Ireland","1","Austria","1","13","2","0","2","6","1","54%","15 ","2","9","0","0","1","6","2","46%","10 ","3"
"http://www.espn.com/soccer/matchstats?gameId=457274","457274","Belgium","9","Gibraltar","0","3","0","1","1","16","11","78%","38 ","20","12","1","1","1","0","1","22%","4 ","1"
"http://www.espn.com/soccer/matchstats?gameId=497788","497788","Croatia","4","Greece","1","8","0","0","1","7","4","59%","17 ","9","11","3","0","1","3","2","41%","7 ","3"
"http://www.espn.com/soccer/matchstats?gameId=431762","431762","Latvia","0","Portugal","3","9","2","0","2","3","1","30%","5 ","1","13","2","0","3","8","6","70%","20 ","9"
